Date,Open,High,Low,Close,Adj Close,Volume
2020-01-08,36.774193,37.210625,36.764706,37.058823,35.604385,16403500
2020-01-09,37.258064,37.258064,36.802658,36.897533,35.449429,21971900
2020-01-10,36.982922,37.599621,36.973434,37.466793,35.996346,21557400
2020-01-13,37.590134,37.732449,37.201138,37.390892,35.923424,15392400
2020-01-14,37.409866,38.026566,37.286526,38.017078,36.525036,20919200
2020-01-15,38.130928,38.776093,38.111954,38.586338,37.071953,23925800
2020-01-16,38.700191,38.709679,38.254269,38.529411,37.017265,16216400
2020-01-17,38.491463,38.719166,38.349148,38.434536,36.926109,23084000
2020-01-21,38.311195,38.576851,38.130928,38.273243,36.771145,23115700
2020-01-22,38.254269,38.339657,37.922199,38.130928,36.634415,18097800
2020-01-23,38.130928,38.738140,38.074005,38.624287,37.108414,27148500
2020-01-24,38.842506,38.870968,37.609108,37.779884,36.297150,34143700
2020-01-27,37.390892,38.358635,37.239090,38.102467,36.607071,31964000
2020-01-28,37.305504,37.466793,36.005692,36.185959,34.765781,70202400
2020-01-29,36.166985,36.413662,35.626186,35.654648,34.255322,34165700
2020-01-30,35.199242,35.265656,34.810246,35.170776,34.135612,32316600
2020-01-31,35.047440,35.531311,35.009487,35.332069,34.292160,33894000
2020-02-03,35.540798,36.091080,35.388996,35.588234,34.540779,20875700
2020-02-04,36.129032,36.280834,35.702087,35.759014,34.706535,31150900
2020-02-05,35.910816,36.593929,35.882355,36.214420,35.148540,29443500
2020-02-06,36.470589,36.527515,36.081593,36.299809,35.231415,21047700
2020-02-07,36.394688,36.432636,35.986717,36.100571,35.038040,21903600
2020-02-10,36.252373,36.261860,35.787476,35.872864,34.817036,19998400
2020-02-11,35.948765,36.176472,35.825428,36.138519,35.074871,16027300
2020-02-12,36.138519,36.233398,35.787476,35.806450,34.752575,22944300
2020-02-13,35.654648,35.654648,35.000000,35.037952,34.006699,22099700
2020-02-14,35.075901,35.142315,34.554081,34.639469,33.619942,21006700
2020-02-18,34.677418,34.791271,34.411766,34.459202,33.444981,17988500
2020-02-19,34.535103,34.629982,34.354839,34.373814,33.362106,17750900
2020-02-20,33.880455,34.212524,33.595825,34.013283,33.012188,42953100
2020-02-21,33.927895,33.984821,33.709679,33.889942,32.892471,32425300
2020-02-24,33.244781,33.586338,32.827324,32.893738,31.925592,37969300
2020-02-25,32.903225,32.960152,31.982922,32.191650,31.244167,41878900
2020-02-26,32.485767,33.406071,32.277039,32.941177,31.971634,47920000
2020-02-27,32.675522,33.880455,32.352940,32.352940,31.400711,55444800
2020-02-28,31.774193,32.201138,30.863379,31.707781,30.774542,66072000
2020-03-02,32.172676,33.159393,31.736242,33.092979,32.118969,42034500
2020-03-03,33.377609,33.946869,32.125237,32.542694,31.584879,46174500
2020-03-04,33.301708,34.592030,33.159393,34.535103,33.518650,38712200
2020-03-05,33.823528,34.326374,33.358635,33.643265,32.653057,35096300
2020-03-06,32.922199,33.368122,32.371918,33.225807,32.247883,40931000
2020-03-09,31.745731,32.912712,31.461100,32.030361,31.087627,43183900
2020-03-10,32.798862,32.884251,31.318785,32.817837,31.851925,40548300
2020-03-11,32.030361,32.144211,30.037951,30.521822,29.623487,65350200
2020-03-12,28.918406,30.360531,28.462997,28.481974,27.643679,62731400
2020-03-13,29.667933,31.195446,28.681215,31.034155,30.120741,60553000
2020-03-16,28.406073,30.626186,28.130930,28.633776,27.791010,50995000
2020-03-17,30.018976,30.977230,29.022770,30.512335,29.614281,54220600
2020-03-18,29.193548,30.939280,28.757116,30.702087,29.798447,43885000
2020-03-19,30.569260,30.597723,28.472486,28.861481,28.012014,59820900
2020-03-20,28.728653,29.098671,27.428843,27.523720,26.713627,52489000
2020-03-23,27.286528,28.064516,26.451612,27.030361,26.234789,52853000
2020-03-24,27.998102,28.510437,27.419355,28.178368,27.349009,44466800
2020-03-25,27.988615,29.146111,27.514231,28.225807,27.395052,44601300
2020-03-26,28.358633,30.351044,28.349146,30.123341,29.236734,43270000
2020-03-27,29.222012,30.113852,29.089184,29.316889,28.454020,38290300
2020-03-30,29.459204,31.166983,29.459204,30.996204,30.083908,29943500
2020-03-31,30.740038,31.309298,30.588236,30.967741,30.056282,29466200
2020-04-01,30.284630,30.626186,29.914612,30.123341,29.236734,26709600
2020-04-02,30.265656,31.309298,30.123341,31.185959,30.268078,27186900
2020-04-03,30.958254,32.153702,30.958254,31.916508,30.977125,32837400
2020-04-06,32.182163,33.111954,32.049335,32.798862,31.833511,40503200
2020-04-07,33.206833,33.368122,31.869070,31.888046,30.949499,24226300
2020-04-08,32.248577,33.017078,31.726755,32.827324,31.861134,25524000
2020-04-09,33.235294,33.937382,33.064518,33.576851,32.588600,30714900
2020-04-13,34.117645,34.136623,32.941177,33.339657,32.358387,18270100
2020-04-14,34.089184,34.753319,33.529411,34.573055,33.555481,21845300
2020-04-15,34.212524,34.373814,33.757114,34.127136,33.122688,21312200
2020-04-16,34.269451,34.402279,33.757114,34.041744,33.039810,20657500
2020-04-17,34.629982,35.104362,34.259960,35.018974,33.988277,24404800
2020-04-20,34.516129,35.018974,34.231499,34.231499,33.223980,22530600
2020-04-21,33.946869,34.089184,33.557877,33.795067,32.800392,23975200
2020-04-22,35.066414,35.104362,34.269451,34.392788,33.380520,20186100
2020-04-23,34.421253,35.483871,34.421253,34.810246,33.785690,20185400
2020-04-24,34.952560,35.512333,34.895638,35.464897,34.421074,17359400
2020-04-27,35.664135,36.565464,35.645161,36.366222,35.295872,23394100
2020-04-28,37.049335,37.210625,35.464897,35.967743,34.909122,35666700
2020-04-29,36.489563,36.574951,35.777988,36.166985,35.102501,26518500
